 1 puckman           "PuckMan (Japan set 1)"
13 gepoker           "Poker (Version 50.02 ICB, set 1)"
13 gepoker1          "Poker (Version 50.02 ICB, set 2)"
13 gepoker2          "Poker (Version 50.02 ICB, set 3)"
13 gtsers1           "Trivia (Questions Series 1)"
13 gtsers2           "Trivia (Questions Series 2)"
13 gtsers3           "Trivia (Questions Series 3)"
13 gtsers4           "Trivia (Questions Series 4)"
13 gtsers5           "Trivia (Questions Series 5)"
13 gtsers7           "Trivia (Questions Series 7)"
13 gtsersa           "Trivia (Alt revision questions set 1)"
13 gtsersb           "Trivia (Alt revision questions set 2)"
13 sextriv1          "Sexual Trivia (Version 1.02SB, set 1)"
13 sextriv2          "Sexual Trivia (Version 1.02SB, set 2)"
13 geimulti          "GEI Multi Game"
13 sprtauth          "Sports Authority"
13 suprpokr          "Super Poker (Version 10.19S)"
13 suprpkr1          "Super Poker (Version 10.15S)"
13 dribling          "Dribbling"
13 driblingo         "Dribbling (Olympia)"
13 ace               "Ace"
13 clayshoo          "Clay Shoot"
13 pirates           "Pirates"
13 genix             "Genix Family"
13 fitfight          "Fit of Fighting"
13 histryma          "The History of Martial Arts"
13 bbprot            "unknown fighting game 'BB' (prototype)"
13 beaminv           "Beam Invader (set 1)"
13 beaminva          "Beam Invader (set 2)"
13 mcatadv           "Magical Cat Adventure"
13 mcatadvj          "Magical Cat Adventure (Japan)"
13 catt              "Catt (Japan)"
13 nost              "Nostradamus"
13 nostj             "Nostradamus (Japan)"
13 nostk             "Nostradamus (Korea)"
13 4enraya           "4 En Raya"
13 oneshot           "One Shot One Kill"
13 maddonna          "Mad Donna (set 1)"
13 maddonnb          "Mad Donna (set 2)"
13 tugboat           "Tugboat"
13 noahsark          "Noah's Ark"
13 berenstn          "The Berenstain Bears in Big Paw's Cave"
13 gotcha            "Got-cha Mini Game Festival"
13 ppchamp           "Pasha Pasha Champ Mini Game Festival (Korea)"
13 amerdart          "AmeriDarts (set 1)"
13 amerdart2         "AmeriDarts (set 2)"
13 amerdart3         "AmeriDarts (set 3)"
13 coolpool          "Cool Pool"
13 9ballsht          "9-Ball Shootout (set 1)"
13 9ballsht2         "9-Ball Shootout (set 2)"
13 9ballsht3         "9-Ball Shootout (set 3)"
13 9ballshtc         "9-Ball Shootout Championship"
13 gumbo             "Gumbo"
13 mspuzzleg         "Miss Puzzle (Clone of Gumbo)"
13 mspuzzle          "Miss Puzzle"
13 mspuzzlen         "Miss Puzzle (Nudes)"
13 msbingo           "Miss Bingo"
13 dblpoint          "Double Point"
13 dblpointd         "Double Point (Dong Bang Electron, bootleg?)"
13 statusbj          "Status Black Jack (V1.0c)"
13 tripdraw          "Tripple Draw (V3.1 s)"
13 funcsino          "Status Fun Casino (V1.3s)"
13 hangman           "Hangman"
13 trivquiz          "Triv Quiz"
13 statriv2          "Triv Two"
13 statriv2v         "Triv Two (Vertical)"
13 statriv4          "Triv Four"
13 sextriv           "Sex Triv"
13 quaquiz2          "Quadro Quiz II"
13 supertr2          "Super Triv II"
13 supertr3          "Super Triv III"
13 cstripxi          "Casino Strip XI"
13 tickee            "Tickee Tickats"
13 ghoshunt          "Ghost Hunter"
13 tutstomb          "Tut's Tomb"
13 mouseatk          "Mouse Attack"
13 rapidfir          "Rapid Fire v1.1"
13 rapidfire         "Rapid Fire v1.0"
13 maletmad          "Mallet Madness v2.1"
13 crgolf            "Crowns Golf (834-5419-04)"
13 crgolfa           "Crowns Golf (834-5419-03)"
13 crgolfb           "Crowns Golf (set 3)"
13 crgolfc           "Champion Golf"
13 crgolfbt          "Champion Golf (bootleg)"
13 crgolfhi          "Crowns Golf in Hawaii"
13 truco             "Truco-Tron"
13 thedeep           "The Deep (Japan)"
13 rundeep           "Run Deep"
13 wallc             "Wall Crash (set 1)"
13 wallca            "Wall Crash (set 2)"
13 wink              "Wink (set 1)"
13 winka             "Wink (set 2)"
13 skyarmy           "Sky Army"
13 lethalj           "Lethal Justice"
13 eggventr          "Egg Venture (Release 10)"
13 eggventr8         "Egg Venture (Release 8)"
13 eggventr7         "Egg Venture (Release 7)"
13 eggventra         "Egg Venture (A.L. Release)"
13 eggventrd         "Egg Venture Deluxe"
13 calchase          "California Chase"
13 ripribit          "Ripper Ribbit (Version 2.8.4)"
13 cfarm             "Chicken Farm (Version 2.0)"
13 cclownz           "Crazzy Clownz (Version 1.0)"
13 rotaryf           "Rotary Fighter"
13 portrait          "Portraits (set 1)"
13 portraita         "Portraits (set 2)"
13 enigma2           "Enigma II"
13 enigma2a          "Enigma II (Space Invaders hardware)"
13 enigma2b          "Phantoms II (Space Invaders hardware)"
13 ltcasino          "Little Casino (older)"
13 mv4in1            "Mini Vegas 4in1"
13 ltcasinn          "Little Casino (newer)"
13 coolmini          "Cool Minigame Collection"
13 luplup            "Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 3.0 / 990128)"
13 luplup29          "Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 2.9 / 990108)"
13 puzlbang          "Puzzle Bang Bang (Korea, version 2.8 / 990106)"
13 suplup            "Super Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 4.0 / 990518)"
13 jmpbreak          "Jumping Break"
13 vamphalf          "Vamf x1/2 (Europe)"
13 vamphalfk         "Vamp x1/2 (Korea)"
13 dquizgo2          "Date Quiz Go Go Episode 2"
13 misncrft          "Mission Craft (version 2.4)"
13 mrdig             "Mr. Dig"
13 hidnctch          "Hidden Catch (World) / Tul Lin Gu Lim Chat Ki '98 (Korea) (pcb ver 3.03)"
13 ironfort          "Iron Fortress"
13 ironfortj         "Iron Fortress (Japan)"
13 puzzlekg          "Puzzle King (Dance & Puzzle)"
13 hidctch2          "Hidden Catch 2 (pcb ver 3.03) (Kor/Eng) (AT89c52 protected)"
13 hidctch2a         "Hidden Catch 2 (pcb ver 1.00) (Kor/Eng/Jpn/Chi)"
13 nhidctch          "New Hidden Catch (World) / New Tul Lin Gu Lim Chat Ki '98 (Korea) (pcb ver 3.02)"
13 landbrk           "Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 3.02)"
13 landbrka          "Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 3.03) (AT89c52 protected)"
13 penfan            "Penfan Girls - Step1. Mild Mind"
13 raccoon           "Raccoon World"
13 fort2b            "Fortress 2 Blue Arcade (ver 1.01 / pcb ver 3.05)"
13 fort2ba           "Fortress 2 Blue Arcade (ver 1.00 / pcb ver 3.05)"
13 klondkp           "KlonDike+"
13 hidctch3          "Hidden Catch 3 (ver 1.00 / pcb ver 3.05)"
13 crazywar          "Crazy War"
13 bballoon          "BnB Arcade"
13 hapytour          "Happy Tour"
13 funkball          "Funky Ball"
13 xfiles            "X-Files"
13 kdynastg          "King of Dynast Gear (version 1.8)"
13 fmaniac3          "Fishing Maniac 3"
13 promutrv          "Progressive Music Trivia (Question set 1)"
13 promutrva         "Progressive Music Trivia (Question set 2)"
13 promutrvb         "Progressive Music Trivia (Question set 3)"
13 promutrvc         "Progressive Music Trivia (Question set 4)"
13 strvmstr          "Super Trivia Master"
13 dorachan          "Dorachan"
13 ladyfrog          "Lady Frog"
13 toucheme          "Touche Me"
13 rabbit            "Rabbit (Japan)"
13 tmmjprd           "Tokimeki Mahjong Paradise - Dear My Love"
13 tmpdoki           "Tokimeki Mahjong Paradise - Doki Doki Hen"
13 malzak            "Malzak"
13 malzak2           "Malzak II"
13 supertnk          "Super Tank"
13 crospang          "Cross Pang"
13 heuksun           "Heuk Sun Baek Sa (Korea)"
13 bestri            "Bestri (Korea)"
13 funybubl          "Funny Bubble"
13 funybublc         "Funny Bubble (Comad version)"
13 dcheese           "Double Cheese"
13 lottof2           "Lotto Fun 2"
13 fredmem           "Fred Flintstones' Memory Match (World?, Ticket version, 3/17/95)"
13 fredmemus         "Fred Flintstones' Memory Match (US, High Score version, 3/10/95)"
13 fredmemuk         "Fred Flintstones' Memory Match (UK, 3/17/95)"
13 fredmemj          "Fred Flintstones' Memory Match (Japan, High Score version, 3/20/95)"
13 fredmemc          "Fred Flintstones' Memory Match (Mandarin Chinese, 3/17/95)"
13 fredmesp          "Fred Flintstones' Memory Match (Spanish, 3/17/95)"
13 cecmatch          "ChuckECheese's Match Game"
13 f15se             "F-15 Strike Eagle (rev. 2.2 02/25/91)"
13 f15se21           "F-15 Strike Eagle (rev. 2.1 02/04/91)"
13 botss             "Battle of the Solar System (rev. 1.1 3/24/92)"
13 botssa            "Battle of the Solar System (rev. 1.1a 7/23/92)"
13 tankbatl          "Tank Battle (prototype rev. 4/21/92)"
13 dynadice          "Dynamic Dice"
13 atamanot          "Computer Quiz Atama no Taisou (Japan)"
13 ssingles          "Swinging Singles"
13 tcl               "Taiwan Chess Legend"
13 othello           "Othello (version 3.0)"
13 sothello          "Super Othello"
13 quake             "Quake Arcade Tournament (Release Beta 2)"
13 macsbios          "Multi Amenity Cassette System BIOS"
13 mac2bios          "Multi Amenity Cassette System 2 BIOS"
13 kisekaem          "Kisekae Mahjong"
13 kisekaeh          "Kisekae Hanafuda"
13 cultname          "Seimei-Kantei-Meimei-Ki Cult Name"
13 yuka              "Yu-Ka"
13 yujan             "Yu-Jan"
13 onetwo            "One + Two"
13 onetwoe           "One + Two (earlier)"
13 1945kiii          "1945k III"
13 witch             "Witch"
13 pbchmp95          "Pinball Champ '95 (bootleg?)"
13 cardline          "Card Line"
13 bmcbowl           "BMC Bowling"
13 koftball          "King of Football"
13 mpoker            "Multi-Poker"
13 pitboss           "The Pit Boss (set 1)"
13 pitbossa          "The Pit Boss (set 2)"
13 pitbossb          "The Pit Boss (set 3)"
13 pitbossc          "The Pit Boss (set 4)"
13 casino5           "Casino Five"
13 trvwzh            "Trivia ? Whiz (Horizontal) (question set 1)"
13 trvwzha           "Trivia ? Whiz (Horizontal) (question set 2)"
13 trvwzhb           "Trivia ? Whiz (Horizontal) (question set 3)"
13 trvwzv            "Trivia ? Whiz (Vertical) (question set 1)"
13 trvwzva           "Trivia ? Whiz (Vertical) (question set 2)"
13 trvwz2            "Trivia ? Whiz (Edition 2) (question set 1)"
13 trvwz2a           "Trivia ? Whiz (Edition 2) (question set 2)"
13 trvwz3h           "Trivia ? Whiz (Edition 3 - Horizontal) (set 1)"
13 trvwz3ha          "Trivia ? Whiz (Edition 3 - Horizontal) (set 2)"
13 trvwz3v           "Trivia ? Whiz (Edition 3 - Vertical)"
13 trvwz4            "Trivia ? Whiz (Edition 4) (question set 1)"
13 trvwz4a           "Trivia ? Whiz (Edition 4) (question set 2)"
13 dtrvwz5           "Deluxe Trivia ? Whiz (Edition 5)"
13 tictac            "Tic Tac Trivia (Horizontal)"
13 tictacv           "Tic Tac Trivia (Vertical)"
13 phrcraze          "Phraze Craze (set 1)"
13 phrcrazea         "Phraze Craze (set 2)"
13 phrcrazeb         "Phraze Craze (Expanded Questions, set 1)"
13 phrcrazec         "Phraze Craze (Expanded Questions, set 2)"
13 phrcrazev         "Phraze Craze (Sex Kit, Vertical)"
13 bigappg           "Big Apple Games"
13 dodge             "Dodge City"
13 couple            "The Couples (set 1)"
13 couplep           "The Couples (set 2)"
13 couplei           "The Couples (set 3)"
13 pitboss2          "Pit Boss II"
13 spitboss          "Super Pit Boss"
13 pitbosss          "Pit Boss Superstar"
13 pitbossm          "Pit Boss Megastar (9244-00-01)"
13 pitbossma         "Pit Boss Megastar (9243-00-01)"
13 pbst30            "Pit Boss Supertouch 30 (9234-10-01)"
13 pbst30b           "Pit Boss Supertouch 30 (9234-00-01)"
13 megat2            "Pit Boss Megatouch II (9255-10-01 ROE, Standard version)"
13 megat2ca          "Pit Boss Megatouch II (9255-10-06 ROG, California version)"
13 megat3            "Megatouch III (9255-20-01 RON, Standard version)"
13 megat3a           "Megatouch III (9255-20-01 ROF, Standard version)"
13 megat3ca          "Megatouch III (9255-20-06 RON, California version)"
13 megat3cb          "Megatouch III (9255-20-06 ROD, California version)"
13 megat3nj          "Megatouch III (9255-20-07 ROG, New Jersey version)"
13 megat3te          "Megatouch III Tournament Edition (9255-30-01 ROE, Standard version)"
13 megat4            "Megatouch IV (9255-40-01 ROE, Standard version)"
13 megat4a           "Megatouch IV (9255-40-01 ROD, Standard version)"
13 megat4b           "Megatouch IV (9255-40-01 ROB, Standard version)"
13 megat4s           "Super Megatouch IV (9255-41-01 ROG, Standard version)"
13 megat4sn          "Super Megatouch IV (9255-41-07 ROG, New Jersey version)"
13 megat4te          "Megatouch IV Tournament Edition (9255-50-01 ROD, Standard version)"
13 megat4tea         "Megatouch IV Tournament Edition (9255-50-01 ROA, Standard version)"
13 megat4st          "Super Megatouch IV Tournament Edition (9255-51-01 ROB, Standard version)"
13 megat4stg         "Super Megatouch IV Turnier Version (9255-51-50 ROA, Bi-Lingual GER/ENG version)"
13 megat5            "Megatouch 5 (9255-60-01 ROI, Standard version)"
13 megat5a           "Megatouch 5 (9255-60-01 ROC, Standard version)"
13 megat5nj          "Megatouch 5 (9255-60-07 RON, New Jersey version)"
13 megat5tg          "Megatouch 5 Turnier Version (9255-70-50 ROD, Bi-Lingual GER/ENG version)"
13 megat6            "Megatouch 6 (9255-80-01 ROA, Standard version)"
13 suprgolf          "Super Crowns Golf (Japan)"
13 hotblock          "Hot Blocks - Tetrix II"
13 pntnpuzl          "Paint & Puzzle"
13 trucocl           "Truco Clemente"
13 ertictac          "Erotictac/Tactic"
13 poizone           "Poizone"
13 ssfindo           "See See Find Out"
13 ppcar             "Pang Pang Car"
13 tetfight          "Tetris Fighters"
13 imolagp           "Imola Grand Prix"
13 dambustr          "Dambusters (US, set 1)"
13 dambustra         "Dambusters (US, set 2)"
13 dambustruk        "Dambusters (UK)"
13 gunpey            "Gunpey"
13 spaceg            "Space Guerrilla"
13 wldarrow          "Wild Arrow (Standard V4.8)"
13 unkmeyco          "unknown Meyco game"
13 mdrawpkr          "Draw Poker Joker's Wild (Standard)"
13 mdrawpkra         "Draw Poker Joker's Wild (02-11)"
13 laserbas          "Laser Base (set 1)"
13 laserbasa         "Laser Base (set 2)"
13 futflash          "Future Flash"
13 turbosub          "Turbo Sub (prototype rev. TSCA)"
13 turbosub7         "Turbo Sub (prototype rev. TSC7)"
13 turbosub6         "Turbo Sub (prototype rev. TSC6)"
13 pipeline          "Pipeline"
13 ttchamp           "Table Tennis Champions (set 1)"
13 ttchampa          "Table Tennis Champions (set 2)"
13 dreamwld          "Dream World"
13 cybertnk          "Cyber Tank (v1.04)"
13 cubeqst           "Cube Quest (01/04/84)"
13 cubeqsta          "Cube Quest (12/30/83)"
13 pkscram           "PK Scramble"
13 magicard          "Magic Card (set 1)"
13 magicarda         "Magic Card (set 2)"
13 magicardb         "Magic Card (set 3)"
13 magicardj         "Magic Card Jackpot (4.01)"
13 magicle           "Magic Lotto Export (5.03)"
13 jollycrd          "Jolly Card (Austrian)"
13 jolyc3x3          "Jolly Card (3x3 deal)"
13 jolycmzs          "Jolly Card Professional 2.0 (MZS Tech)"
13 jolyc980          "Jolly Card Professional 2.0 (Spale Soft)"
13 jolycdev          "Jolly Card (Evona Electronic)"
13 jolyccra          "Jolly Card (Croatian, set 1)"
13 jolyccrb          "Jolly Card (Croatian, set 2)"
13 jolycdit          "Jolly Card (Italian, blue TAB board, encrypted)"
13 jolycdib          "Jolly Card (Italian, encrypted bootleg)"
13 sjcd2kx3          "Super Joly 2000 - 3x"
13 jolycdab          "Jolly Card (Austrian, Funworld, bootleg)"
13 bigdeal           "Big Deal (Hungarian, set 1)"
13 bigdealb          "Big Deal (Hungarian, set 2)"
13 jolycdat          "Jolly Card (Austrian, Funworld)"
13 cuoreuno          "Cuore 1 (Italian)"
13 elephfam          "Elephant Family (Italian, new)"
13 elephfmb          "Elephant Family (Italian, old)"
13 pool10            "Pool 10 (Italian, set 1)"
13 pool10b           "Pool 10 (Italian, set 2)"
13 pool10c           "Pool 10 (Italian, set 3)"
13 pool10d           "Pool 10 (Italian, set 4)"
13 tortufam          "Tortuga Family (Italian)"
13 potgame           "Pot Game (Italian)"
13 bottle10          "Bottle 10 (Italian, set 1)"
13 bottl10b          "Bottle 10 (Italian, set 2)"
13 royalcrd          "Royal Card (Austrian, set 1)"
13 royalcrda         "Royal Card (Austrian, set 2)"
13 royalcrdb         "Royal Card (Austrian/Polish, set 3)"
13 royalcrdc         "Royal Card (Austrian, set 4)"
13 royalcrdd         "Royal Card (Austrian, set 5)"
13 royalcrde         "Royal Card (Austrian, set 6)"
13 royalcrdf         "Royal Card (Slovak, encrypted)"
13 royalcrdt         "Royal Card (TAB original)"
13 royalcrdp         "Royal Card v2.0 Professional"
13 lluck3x3          "Lucky Lady (3x3 deal)"
13 lluck4x1          "Lucky Lady (4x1 aces)"
13 magicrd2          "Magic Card II (Bulgarian)"
13 magicd2a          "Magic Card II (green TAB or Impera board)"
13 magicd2b          "Magic Card II (blue TAB board, encrypted)"
13 vegasslw          "Royal Vegas Joker Card (slow deal)"
13 vegasfst          "Royal Vegas Joker Card (fast deal)"
13 vegasfte          "Royal Vegas Joker Card (fast deal, English gfx)"
13 vegasmil          "Royal Vegas Joker Card (fast deal, Mile)"
13 jolyjokr          "Jolly Joker (98bet, set 1)"
13 jolyjokra         "Jolly Joker (98bet, set 2)"
13 jolyjokrb         "Jolly Joker (40bet, Croatian hack)"
13 multiwin          "Multi Win (Ver.0167, encrypted)"
13 jokercrd          "Joker Card (Ver.A267BC, encrypted)"
13 mongolnw          "Mongolfier New (Italian)"
13 soccernw          "Soccer New (Italian)"
13 saloon            "Saloon (French, encrypted)"
13 funquiz           "Fun World Quiz (Austrian)"
13 photoply          "PhotoPlay"
13 snookr10          "Snooker 10 (Ver 1.11)"
13 apple10           "Apple 10 (Ver 1.21)"
13 tenballs          "Ten Balls (Ver 1.05)"
13 gotya             "Got-Ya (12/24/1981, prototype?)"
13 sbugger           "Space Bugger (set 1)"
13 sbuggera          "Space Bugger (set 2)"
13 poker41           "Poker 4-1"
13 pulltabs          "Pull Tabs"
13 vroulet           "Vegas Roulette"
13 rcasino           "Royal Casino"
13 ampoker2          "American Poker II"
13 piccolop          "Piccolo Poker 100"
13 ampkr2b1          "American Poker II (bootleg, set 1)"
13 ampkr2b2          "American Poker II (bootleg, set 2)"
13 ampkr2b3          "American Poker II (bootleg, set 3)"
13 ampkr2b4          "American Poker II (bootleg, set 4)"
13 ampkr228          "American Poker II (iamp2 v28)"
13 pkrdewin          "Poker De Win"
13 ampkr95           "American Poker 95"
13 videomat          "Videomat (Polish bootleg)"
13 rabbitpk          "Rabbit Poker (Arizona Poker v1.1?)"
13 sigmapkr          "Sigma Poker"
13 sigma2k           "Sigma Poker 2000"
13 sidewndr          "Sidewinder"
13 spellbnd          "Spellbound"
13 starspnr          "Starspinner (Dutch/Nederlands)"
13 acefruit          "unknown ACE fruits game"
13 attckufo          "Attack Ufo"
13 fortecar          "Forte Card"
13 jackpool          "Jackpot Cards / Jackpot Pool (Italy)"
13 murogem           "Muroge Monaco (set 1)"
13 murogema          "Muroge Monaco (set 2)"
13 murogmbl          "Muroge Monaco (bootleg?)"
13 lasvegas          "Las Vegas, Nevada"
13 quizmstr          "Quizmaster (German)"
13 trailblz          "Trail Blazer"
13 supnudg2          "Super Nudger II (Version 5.21)"
13 pokeroul          "Poker Roulette (Version 8.22)"
13 egghunt           "Egg Hunt"
13 magic10           "Magic's 10 (ver. 16.55)"
13 magic10a          "Magic's 10 (ver. 16.45)"
13 magic10b          "Magic's 10 (ver. 16.15)"
13 magic102          "Magic's 10 2 (ver 1.1)"
13 suprpool          "Super Pool (9743 rev.01)"
13 hotslot           "Hot Slot (ver. 05.01)"
13 mcolors           "Magic Colors (ver. 1.7a)"
13 sgsafari          "Super Gran Safari (ver 3.11)"
13 musicsrt          "Music Sort (ver 2.02, English)"
13 galaxi            "Galaxi (v2.0)"
13 magjoker          "Magic Joker (v1.25.10.2000)"
13 dwarfd            "Dwarfs Den"
13 quarterh          "Quarter Horse (set 1, Pioneer PR-8210)"
13 quarterha         "Quarter Horse (set 2, Pioneer PR-8210)"
13 quarterhb         "Quarter Horse (set 3, Pioneer LD-V2000)"
13 qc                "Quarter Horse Classic"
13 trvquest          "Trivia Quest"
13 wheelfir          "Wheels & Fire"
13 littlerb          "Little Robin"
13 tattack           "Time Attacker"
13 mosaicf2          "Mosaic (F2 System)"
13 finalgdr          "Final Godori (Korea, version 2.20.5915)"
13 mrkicker          "Mr. Kicker"
13 wyvernwg          "Wyvern Wings"
13 rbmk              "Real Battle Mahjong King"
13 go2000            "Go 2000"
13 mirax             "Mirax"
13 miraxa            "Mirax (set 2)"
13 victor5           "G.E.A."
13 victor21          "Victor 21"
13 crsbingo          "Poker Carnival"
13 tisub             "Treasure Island (Subsino, set 1)"
13 tisuba            "Treasure Island (Subsino, set 2)"
13 stisub            "Treasure Bonus (Subsino)"
13 victor6           "Victor 6 (v2.3N)"
13 victor6a          "Victor 6 (v2.3)"
13 victor6b          "Victor 6 (v1.2)"
13 sharkpy           "Shark Party (Italy, v1.3)"
13 sharkpya          "Shark Party (Italy, v1.6)"
13 sharkpye          "Shark Party (English, Alpha license)"
13 smoto20           "Super Rider (Italy, v2.0)"
13 smoto16           "Super Moto (Italy, v1.6)"
13 mtrain            "Magic Train (Ver. 1.31)"
13 mtrainnv          "Magic Train (Clear NVRAM ROM?)"
13 expcard           "Express Card / Top Card (Ver. 1.5)"
13 saklove           "Ying Hua Lian 2.0 (China, Ver. 1.02)"
13 bishjan           "Bishou Jan (Japan, Ver. 2.03)"
13 xtrain            "X-Train (Ver. 1.3)"
13 lastfght          "Last Fighting"
13 xplan             "X-Plan (Ver. 1.01)"
13 sliver            "Sliver"
13 intrscti          "Intersecti"
13 pasha2            "Pasha Pasha 2"
13 trvmadns          "Trivia Madness"
13 rcorsair          "Red Corsair"
13 pzlestar          "Puzzle Star (Sang Ho Soft)"
13 sexyboom          "Sexy Boom"
13 sfkick            "Super Free Kick (set 1)"
13 sfkicka           "Super Free Kick (set 2)"
13 spinkick          "Hec's Spinkick"
13 7mezzo            "7 e Mezzo"
13 magicfly          "Magic Fly"
13 dynabomb          "Dynamite Bomber (Korea, Rev 1.5)"
13 legendoh          "Legend of Heroes"
13 sb2003            "Super Bubble 2003 (World, Ver 1.0)"
13 sb2003a           "Super Bubble 2003 (Asia, Ver 1.0)"
13 spotty            "Spotty (Ver. 2.0.2)"
13 carrera           "Carrera (Version 6.7)"
13 goldnpkr          "Golden Poker Double Up (Big Boy)"
13 goldnpkb          "Golden Poker Double Up (Mini Boy)"
13 pottnpkr          "Jack Potten's Poker (set 1)"
13 potnpkra          "Jack Potten's Poker (set 2)"
13 potnpkrb          "Jack Potten's Poker (set 3)"
13 potnpkrc          "Jack Potten's Poker (set 4)"
13 potnpkrd          "Jack Potten's Poker (set 5)"
13 potnpkre          "Jack Potten's Poker (set 6)"
13 goodluck          "Good Luck"
13 superdbl          "Super Double (French)"
13 ngold             "Jack Potten's Poker (NGold, set 1)"
13 ngolda            "Jack Potten's Poker (NGold, set 2)"
13 ngoldb            "Jack Potten's Poker (NGold, set 3)"
13 witchcrd          "Witch Card (Video Klein CPU box)"
13 witchcda          "Witch Card (Spanish, witch game, set 1)"
13 witchcdb          "Witch Card (Spanish, witch game, set 2)"
13 witchcdc          "Witch Card (English, no witch game)"
13 witchcdd          "Witch Card (German, WC3050, set 1 )"
13 witchcdf          "Witch Card (English, witch game, lamps)"
13 witchcdg          "Witch Card (Falcon, enhanced sound)"
13 witchcdh          "Witch Card (German, WC3050, set 2 )"
13 witchgme          "Witch Game (Video Klein)"
13 witchjol          "Jolli Witch (Export, 6T/12T ver 1.57D)"
13 wldwitch          "Wild Witch (Export, 6T/12T ver 1.74A)"
13 falcnwld          "Falcons Wild - Wild Card 1991 (TVG)"
13 falcnwlda         "Falcons Wild - World Wide Poker (Video Klein)"
13 falcnwldb         "Falcons Wild - World Wide Poker (Falcon original)"
13 bsuerte           "Buena Suerte (Spanish, set 1)"
13 bsuertea          "Buena Suerte (Spanish, set 2)"
13 bsuerteb          "Buena Suerte (Spanish, set 3)"
13 bsuertec          "Buena Suerte (Spanish, set 4)"
13 bsuerted          "Buena Suerte (Spanish, set 5)"
13 bsuertee          "Buena Suerte (Spanish, set 6)"
13 bsuertef          "Buena Suerte (Spanish, set 7)"
13 bsuerteg          "Buena Suerte (Spanish, set 8)"
13 bsuerteh          "Buena Suerte (Spanish, set 9)"
13 bsuertei          "Buena Suerte (Spanish, set 10)"
13 bsuertej          "Buena Suerte (Spanish, set 11)"
13 bsuertek          "Buena Suerte (Spanish, set 12)"
13 bsuertel          "Buena Suerte (Spanish, set 13)"
13 bsuertem          "Buena Suerte (Spanish, set 14)"
13 bsuerten          "Buena Suerte (Spanish, set 15)"
13 bsuerteo          "Buena Suerte (Spanish, set 16)"
13 bsuertep          "Buena Suerte (Spanish, set 17)"
13 bsuerteq          "Buena Suerte (Spanish, set 18)"
13 bsuerter          "Buena Suerte (Spanish, set 19)"
13 bsuertes          "Buena Suerte (Spanish, set 20)"
13 bsuertet          "Buena Suerte (Spanish, set 21)"
13 bsuerteu          "Buena Suerte (Spanish, set 22)"
13 pmpoker           "PlayMan Poker (German)"
13 royale            "Royale (set 1)"
13 royalea           "Royale (set 2)"
13 sloco93           "Super Loco 93 (Spanish, set 1)"
13 sloco93a          "Super Loco 93 (Spanish, set 2)"
13 maverik           "Maverik"
13 brasil86          "Brasil 86"
13 brasil87          "Brasil 87"
13 brasil89          "Brasil 89 (set 1)"
13 brasil89a         "Brasil 89 (set 2)"
13 brasil93          "Brasil 93"
13 poker91           "Poker 91"
13 genie             "Genie"
13 silverga          "Silver Game"
13 pokerdub          "unknown French poker game"
13 pokerduc          "unknown encrypted poker game"
13 comg074           "Cal Omega - Game 7.4 (Gaming Poker, W.Export)"
13 comg076           "Cal Omega - Game 7.6 (Arcade Poker)"
13 comg079           "Cal Omega - Game 7.9 (Arcade Poker)"
13 comg080           "Cal Omega - Game 8.0 (Arcade Black Jack)"
13 comg094           "Cal Omega - Game 9.4 (Keno)"
13 comg107           "Cal Omega - Game 10.7c (Big Game)"
13 comg123           "Cal Omega - Game 12.3 (Ticket Poker)"
13 comg125           "Cal Omega - Game 12.5 (Bingo)"
13 comg127           "Cal Omega - Game 12.7 (Keno)"
13 comg128           "Cal Omega - Game 12.8 (Arcade Game)"
13 comg134           "Cal Omega - Game 13.4 (Nudge Bingo)"
13 comg145           "Cal Omega - Game 14.5 (Pixels)"
13 comg157           "Cal Omega - Game 15.7 (Double-Draw Poker)"
13 comg159           "Cal Omega - Game 15.9 (Wild Double-Up)"
13 comg164           "Cal Omega - Game 16.4 (Keno)"
13 comg168           "Cal Omega - Game 16.8 (Keno)"
13 comg172           "Cal Omega - Game 17.2 (Double Double Poker)"
13 comg175           "Cal Omega - Game 17.51 (Gaming Draw Poker)"
13 comg176           "Cal Omega - Game 17.6 (Nudge Bingo)"
13 comg181           "Cal Omega - Game 18.1 (Nudge Bingo)"
13 comg183           "Cal Omega - Game 18.3 (Pixels)"
13 comg185           "Cal Omega - Game 18.5 (Pixels)"
13 comg186           "Cal Omega - Game 18.6 (Pixels)"
13 comg187           "Cal Omega - Game 18.7 (Amusement Poker)"
13 comg204           "Cal Omega - Game 20.4 (Super Blackjack)"
13 comg208           "Cal Omega - Game 20.8 (Winner's Choice)"
13 comg227           "Cal Omega - Game 22.7 (Amusement Poker, d/d)"
13 comg230           "Cal Omega - Game 23.0 (FC Bingo (4-card))"
13 comg236           "Cal Omega - Game 23.6 (Hotline)"
13 comg239           "Cal Omega - Game 23.9 (Gaming Draw Poker)"
13 comg240           "Cal Omega - Game 24.0 (Gaming Draw Poker, hold)"
13 comg246           "Cal Omega - Game 24.6 (Hotline)"
